,volume,close,high,open,low,class
2021-11-29 05:00:00.000001,1005,3.28,3.28,3.28,3.28,False
2021-11-29 05:15:00.000000,1697,3.31,3.31,3.31,3.31,False
2021-11-29 05:29:59.999999,684,3.33,3.33,3.32,3.32,False
2021-11-29 05:45:00.000001,1718,3.31,3.31,3.31,3.3,False
2021-11-29 06:00:00.000000,2003,3.33,3.33,3.31,3.31,False
2021-11-29 06:14:59.999999,862,3.31,3.31,3.31,3.31,False
2021-11-29 06:30:00.000001,408,3.31,3.33,3.33,3.31,False
2021-11-29 06:45:00.000000,1932,3.27,3.29,3.29,3.27,False
2021-11-29 06:59:59.999999,12361,3.27,3.29,3.29,3.27,False
2021-11-29 07:15:00.000001,9378,3.23,3.27,3.27,3.23,False
2021-11-29 07:30:00.000000,3936,3.24,3.26,3.25,3.21,False
2021-11-29 07:44:59.999999,100,3.24,3.24,3.24,3.24,False
2021-11-29 08:00:00.000001,51657,3.25,3.3,3.2799,3.2,False
2021-11-29 08:15:00.000000,9408,3.27,3.28,3.25,3.25,False
2021-11-29 08:29:59.999999,5093,3.27,3.28,3.2701,3.26,False
2021-11-29 08:45:00.000001,5841,3.29,3.29,3.28,3.27,False
2021-11-29 09:00:00.000000,29045,3.24,3.29,3.29,3.24,False
2021-11-29 09:14:59.999999,17508,3.26,3.28,3.27,3.25,False
2021-11-29 09:30:00.000001,1088163,3.1,3.3,3.27,3.1,False
2021-11-29 09:45:00.000000,769886,3.18,3.1902,3.1017,3.08,False
2021-11-29 09:59:59.999999,481886,3.1,3.19,3.1701,3.09,False
2021-11-29 10:15:00.000001,850644,3.0501,3.13,3.095,3.04,False
2021-11-29 10:30:00.000000,1534997,3.025,3.0665,3.05,2.98,False
2021-11-29 10:44:59.999999,608198,3.045,3.05,3.02,3.01,False
2021-11-29 11:00:00.000001,462822,3.015,3.05,3.0483,3.011,False
2021-11-29 11:15:00.000000,258378,3.025,3.04,3.0148,3.01,False
2021-11-29 11:29:59.999999,481675,3.065,3.08,3.0208,3.02,False
2021-11-29 11:45:00.000001,554548,3.1108,3.13,3.065,3.06,False
2021-11-29 12:00:00.000000,327475,3.14,3.145,3.11,3.11,False
2021-11-29 12:14:59.999999,217371,3.12,3.15,3.14,3.105,False
2021-11-29 12:30:00.000001,200522,3.125,3.14,3.1199,3.11,False
2021-11-29 12:45:00.000000,208403,3.145,3.16,3.125,3.115,False
2021-11-29 12:59:59.999999,210223,3.1506,3.18,3.145,3.14,False
2021-11-29 13:15:00.000001,163102,3.12,3.16,3.16,3.11,False
2021-11-29 13:30:00.000000,191706,3.1,3.125,3.11,3.091,False
2021-11-29 13:44:59.999999,233325,3.105,3.13,3.105,3.1,False
2021-11-29 14:00:00.000001,264774,3.1,3.13,3.1091,3.1,False
2021-11-29 14:15:00.000000,401645,3.0368,3.11,3.1094,3.035,False
2021-11-29 14:29:59.999999,346608,3.0609,3.065,3.035,3.03,False
2021-11-29 14:45:00.000001,295784,3.04,3.07,3.0601,3.03,False
2021-11-29 15:00:00.000000,166528,3.055,3.07,3.0385,3.035,False
