,volume,close,high,open,low,class
2019-06-03 10:15:00.000001,1320,0.465532,0.4657,0.4602,0.4601,False
2019-06-03 10:30:00.000000,7049,0.4654,0.468,0.4601,0.46,False
2019-06-03 10:44:59.999999,12486,0.45,0.4661,0.4661,0.45,False
2019-06-03 11:00:00.000001,980,0.4501,0.4501,0.4501,0.45,False
2019-06-03 11:15:00.000000,300,0.451201,0.4599,0.4599,0.451201,False
2019-06-03 11:29:59.999999,6412,0.455,0.455,0.4511,0.4501,False
2019-06-03 11:45:00.000001,100,0.458,0.458,0.458,0.458,False
2019-06-03 12:00:00.000000,200,0.4517,0.4517,0.4517,0.4517,False
2019-06-03 12:14:59.999999,221,0.4572,0.4572,0.4572,0.4572,False
2019-06-03 12:30:00.000001,1027,0.458,0.458,0.4505,0.4505,False
2019-06-03 12:59:59.999999,14499,0.4679,0.4679,0.458,0.458,False
2019-06-03 13:30:00.000000,433,0.467718,0.467718,0.467718,0.467718,False
2019-06-03 13:44:59.999999,910,0.4635,0.4635,0.4588,0.4588,False
2019-06-03 14:00:00.000001,102,0.468,0.468,0.468,0.468,False
2019-06-03 14:15:00.000000,1700,0.468,0.468,0.4662,0.4602,False
2019-06-03 14:29:59.999999,23657,0.4691,0.47,0.468,0.4611,False
2019-06-03 14:45:00.000001,941,0.4693,0.4693,0.4693,0.4693,False
2019-06-03 15:00:00.000000,1000,0.4699,0.4699,0.4699,0.4699,False
2019-06-03 15:14:59.999999,4186,0.4609,0.47,0.4699,0.4609,False
2019-06-03 15:30:00.000001,2628,0.47,0.47,0.4633,0.4611,False
2019-06-03 15:45:00.000000,2423,0.4615,0.47,0.4612,0.4612,False
2019-06-04 09:30:00.000001,6313,0.46,0.47,0.47,0.46,False
2019-06-04 09:45:00.000000,2914,0.469,0.469,0.46,0.46,False
2019-06-04 09:59:59.999999,19954,0.44,0.4631,0.4543,0.4,True
2019-06-04 10:15:00.000001,2235,0.46,0.46,0.46,0.46,False
2019-06-04 10:30:00.000000,5000,0.4599,0.4599,0.4421,0.4421,False
2019-06-04 10:44:59.999999,5035,0.4565,0.459375,0.4403,0.4401,False
2019-06-04 11:00:00.000001,37342,0.4599,0.4599,0.4598,0.4402,False
2019-06-04 11:15:00.000000,1030,0.45,0.45,0.45,0.45,True
2019-06-04 11:29:59.999999,6802,0.4679,0.4679,0.467,0.467,False
2019-06-04 11:45:00.000001,998,0.4677,0.4678,0.4676,0.4676,False
2019-06-04 12:14:59.999999,100,0.458,0.458,0.458,0.458,False
2019-06-04 12:30:00.000001,425,0.4501,0.4501,0.4501,0.4501,True
2019-06-04 12:45:00.000000,223,0.4504,0.4504,0.4504,0.4504,True
2019-06-04 12:59:59.999999,400,0.4503,0.4503,0.4503,0.4503,True
2019-06-04 13:15:00.000001,462,0.458,0.458,0.4502,0.4502,False
2019-06-04 13:30:00.000000,3000,0.4695,0.4695,0.4694,0.4694,False
2019-06-04 14:15:00.000000,100,0.4695,0.4695,0.4695,0.4695,False
2019-06-04 14:45:00.000001,200,0.4695,0.4695,0.4582,0.4582,False
2019-06-04 15:00:00.000000,100,0.4583,0.4583,0.4583,0.4583,True
2019-06-04 15:14:59.999999,700,0.4695,0.4695,0.4639,0.4639,False
2019-06-04 15:30:00.000001,4000,0.458,0.469167,0.469167,0.458,True
2019-06-04 15:45:00.000000,931,0.4695,0.4695,0.4695,0.4605,False
