,volume,close,high,open,low,class
2021-11-29 09:14:59.999999,800,2.5,2.5,2.5,2.5,False
2021-11-29 09:30:00.000001,4585,2.43,2.4756,2.38,2.38,False
2021-11-29 09:45:00.000000,10969,2.3667,2.4799,2.45,2.3667,False
2021-11-29 09:59:59.999999,3212,2.36,2.37,2.36,2.35,False
2021-11-29 10:15:00.000001,2891,2.38,2.39,2.3766,2.37,False
2021-11-29 10:30:00.000000,9535,2.35,2.39,2.39,2.3405,False
2021-11-29 10:44:59.999999,24348,2.33,2.35,2.34,2.33,False
2021-11-29 11:00:00.000001,3425,2.305,2.33,2.33,2.3,False
2021-11-29 11:15:00.000000,5877,2.26,2.31,2.3099,2.25,False
2021-11-29 11:29:59.999999,7257,2.23,2.31,2.2,2.2,False
2021-11-29 11:45:00.000001,1393,2.3,2.31,2.31,2.2001,False
2021-11-29 12:00:00.000000,246,2.3009,2.3009,2.3009,2.3009,False
2021-11-29 12:14:59.999999,4405,2.25,2.2968,2.2968,2.25,False
2021-11-29 12:30:00.000001,823,2.2947,2.2947,2.26,2.26,False
2021-11-29 12:45:00.000000,2465,2.3,2.3,2.2999,2.25,False
2021-11-29 12:59:59.999999,2210,2.3,2.3,2.3,2.3,False
2021-11-29 13:15:00.000001,344,2.3,2.3,2.3,2.3,False
2021-11-29 13:30:00.000000,2033,2.25,2.2798,2.275,2.25,False
2021-11-29 13:44:59.999999,5261,2.2462,2.26,2.2328,2.22,False
2021-11-29 14:00:00.000001,23261,2.2299,2.23,2.2289,2.14,False
2021-11-29 14:15:00.000000,578,2.2597,2.2597,2.2,2.2,False
2021-11-29 14:29:59.999999,461,2.2406,2.25,2.24,2.24,False
2021-11-29 14:45:00.000001,607,2.242,2.2448,2.24,2.24,False
2021-11-29 15:00:00.000000,1713,2.2657,2.27,2.258,2.24,False
2021-11-29 15:14:59.999999,658,2.24,2.24,2.24,2.24,False
2021-11-29 15:30:00.000001,4912,2.2169,2.23,2.19,2.19,False
2021-11-29 15:45:00.000000,1001,2.23,2.27,2.2327,2.23,False
2021-11-29 15:59:59.999999,400,2.23,2.23,2.23,2.23,False
2021-11-29 16:44:59.999999,100,2.23,2.23,2.23,2.23,False
2021-11-30 09:30:00.000001,14367,2.1,2.26,2.17,2.028,False
2021-11-30 09:45:00.000000,26317,2.12,2.1999,2.165,2.08,False
