,volume,close,high,open,low,class
2019-06-03 12:00:00.000000,3828,3.8,3.9,3.89,3.77,False
2019-06-03 12:14:59.999999,680,3.98,3.98,3.88,3.82,False
2019-06-03 12:30:00.000001,4501,3.84,3.85,3.82,3.82,False
2019-06-03 12:45:00.000000,2500,3.85,3.85,3.85,3.82,False
2019-06-03 13:15:00.000001,500,3.9825,3.9825,3.9825,3.9825,False
2019-06-03 13:30:00.000000,500,3.9414,3.9414,3.9414,3.9414,False
2019-06-03 14:00:00.000001,100,3.83,3.83,3.83,3.83,False
2019-06-03 14:29:59.999999,2695,3.85,3.95,3.95,3.83,False
2019-06-03 14:45:00.000001,3222,3.83,3.85,3.82,3.82,False
2019-06-03 15:00:00.000000,3784,3.84,3.87,3.84,3.82,False
2019-06-03 15:14:59.999999,1225,3.84,3.95,3.88,3.84,False
2019-06-03 15:30:00.000001,3418,3.96,3.97,3.83,3.82,False
2019-06-03 15:45:00.000000,4810,3.85,3.97,3.8,3.77,False
2019-06-04 09:30:00.000001,2994,3.76,3.8624,3.72,3.45,False
2019-06-04 09:45:00.000000,980,3.6,3.66,3.66,3.6,True
2019-06-04 09:59:59.999999,800,3.6792,3.6868,3.6,3.6,False
2019-06-04 10:15:00.000001,150,3.6,3.6,3.6,3.6,True
2019-06-04 10:30:00.000000,2600,3.6399,3.6399,3.6,3.59,False
2019-06-04 11:29:59.999999,1942,3.6399,3.6399,3.608,3.58,False
2019-06-04 11:45:00.000001,2382,3.6,3.6,3.58,3.56,False
2019-06-04 12:00:00.000000,100,3.64,3.64,3.64,3.64,False
2019-06-04 12:14:59.999999,2754,3.59,3.62,3.61,3.58,False
2019-06-04 12:30:00.000001,900,3.58,3.6,3.58,3.58,True
2019-06-04 12:45:00.000000,1500,3.58,3.58,3.58,3.58,True
2019-06-04 13:15:00.000001,2000,3.6,3.6399,3.6,3.6,False
2019-06-04 13:30:00.000000,400,3.637,3.637,3.637,3.637,False
2019-06-04 13:44:59.999999,500,3.6355,3.6355,3.6355,3.6355,False
2019-06-04 14:15:00.000000,6971,3.69,3.7,3.62,3.62,False
2019-06-04 14:29:59.999999,1281,3.73,3.73,3.69,3.69,False
2019-06-04 14:45:00.000001,528,3.73,3.73,3.73,3.73,False
2019-06-04 15:00:00.000000,4028,3.88,3.88,3.74,3.74,False
2019-06-04 15:14:59.999999,3569,3.85,3.88,3.88,3.7454,False
2019-06-04 15:30:00.000001,300,3.86,3.86,3.86,3.86,False
2019-06-04 15:45:00.000000,1090,3.82,3.86,3.86,3.82,False
2019-06-05 09:59:59.999999,100,3.81,3.81,3.81,3.81,False
2019-06-05 10:44:59.999999,200,3.74,3.7407,3.7407,3.74,False
2019-06-05 11:45:00.000001,275,3.69,3.7,3.7,3.69,True
2019-06-05 14:00:00.000001,300,3.766,3.766,3.766,3.766,False
2019-06-05 15:30:00.000001,2527,3.755,3.78,3.721,3.721,False
2019-06-05 15:45:00.000000,1303,4.0,4.0,3.78,3.73,False
2019-06-06 09:30:00.000001,1046,3.85,3.85,3.85,3.85,False
2019-06-06 10:30:00.000000,3400,3.83,3.83,3.758,3.7122,False
2019-06-06 10:44:59.999999,6782,3.77,3.82,3.72,3.69,False
2019-06-06 11:00:00.000001,2244,3.7136,3.7136,3.71,3.71,False
2019-06-06 11:15:00.000000,592,3.7103,3.7103,3.71,3.71,False
2019-06-06 11:29:59.999999,1400,3.71,3.71,3.7099,3.7099,False
2019-06-06 11:45:00.000001,20170,3.63,3.68,3.68,3.63,False
2019-06-06 12:00:00.000000,2900,3.5175,3.6825,3.63,3.5175,False
2019-06-06 12:14:59.999999,600,3.55,3.57,3.57,3.55,False
2019-06-06 12:59:59.999999,200,3.51,3.51,3.51,3.51,False
2019-06-06 13:15:00.000001,100,3.5,3.5,3.5,3.5,False
2019-06-06 13:30:00.000000,210,3.5,3.5,3.5,3.5,False
2019-06-06 15:00:00.000000,1000,3.45,3.4593,3.45,3.45,False
2019-06-06 15:14:59.999999,547,3.44,3.44,3.43,3.43,True
2019-06-06 15:30:00.000001,1100,3.59,3.59,3.45,3.45,False
2019-06-06 15:45:00.000000,1994,3.63,3.77,3.54,3.52,False
2019-06-07 09:30:00.000001,311,3.88,3.88,3.88,3.88,False
2019-06-07 09:59:59.999999,1100,3.7,3.769,3.71,3.7,False
2019-06-07 10:15:00.000001,100,3.8,3.8,3.8,3.8,False
2019-06-07 10:30:00.000000,1100,3.63,3.7807,3.7807,3.6,False
2019-06-07 11:15:00.000000,5000,3.6582,3.6582,3.6582,3.6582,False
2019-06-07 11:29:59.999999,30649,3.2899,3.67,3.65,3.2899,True
2019-06-07 11:45:00.000001,1940,3.2899,3.29,3.28,3.28,True
2019-06-07 12:00:00.000000,9489,3.5,3.5,3.2,3.11,False
2019-06-07 12:14:59.999999,200,3.4,3.4,3.4,3.4,False
2019-06-07 13:44:59.999999,600,3.3388,3.3388,3.31,3.31,False
2019-06-07 14:29:59.999999,1500,3.3004,3.3004,3.3,3.3,False
2019-06-07 14:45:00.000001,300,3.3,3.305,3.305,3.3,False
2019-06-07 15:00:00.000000,1500,3.3353,3.3353,3.3353,3.3353,False
2019-06-07 15:45:00.000000,5471,3.27,3.46,3.35,3.27,True
2019-06-10 09:30:00.000001,497,3.5407,3.5407,3.23,3.23,False
2019-06-10 09:45:00.000000,2239,3.2973,3.48,3.3423,3.2973,False
2019-06-10 10:15:00.000001,100,3.34,3.34,3.34,3.34,False
2019-06-10 10:44:59.999999,105,3.23,3.23,3.23,3.23,False
2019-06-10 12:45:00.000000,212,3.2205,3.2205,3.2205,3.2205,False
2019-06-11 09:30:00.000001,200,3.4277,3.4277,3.4277,3.4277,False
2019-06-11 13:44:59.999999,100,3.38,3.38,3.38,3.38,False
2019-06-12 09:30:00.000001,3020,3.124,3.306,3.26,3.124,False
2019-06-12 09:45:00.000000,3500,3.2,3.2,3.19,3.1676,False
2019-06-12 12:14:59.999999,103,3.18,3.18,3.18,3.18,False
2019-06-12 13:15:00.000001,1302,3.0773,3.0773,3.07,3.06,False
2019-06-12 13:30:00.000000,200,3.05,3.07,3.07,3.05,False
2019-06-12 13:44:59.999999,200,3.04,3.04,3.035,3.035,False
2019-06-12 14:00:00.000001,3100,3.03,3.03,3.03,3.03,False
2019-06-12 14:15:00.000000,2203,3.05,3.05,3.04,3.0225,False
2019-06-12 15:00:00.000000,194,3.0,3.0,3.0,3.0,False
2019-06-12 15:45:00.000000,2325,3.17,3.18,3.0349,3.0349,False
2019-06-13 09:30:00.000001,1351,3.0678,3.18,3.18,2.97,False
2019-06-13 09:45:00.000000,1295,2.987,3.0,2.98,2.98,False
2019-06-13 09:59:59.999999,600,2.9692,2.9692,2.9692,2.9692,True
2019-06-13 10:30:00.000000,1200,2.98,2.98,2.98,2.98,False
2019-06-13 10:44:59.999999,607,3.0,3.0,2.98,2.98,False
2019-06-13 11:45:00.000001,200,3.01,3.01,3.01,3.01,False
2019-06-13 12:14:59.999999,345,3.04,3.04,3.0283,3.0283,False
2019-06-13 13:15:00.000001,300,3.04,3.04,3.04,3.04,False
2019-06-13 15:30:00.000001,600,3.07,3.07,3.05,3.04,False
2019-06-13 15:45:00.000000,9360,3.14,3.14,3.05,3.04,False
2019-06-14 09:30:00.000001,569,3.05,3.05,3.03,3.02,False
2019-06-14 14:45:00.000001,500,3.0,3.02,3.02,3.0,True
2019-06-14 15:45:00.000000,1329,3.14,3.14,2.97,2.94,False
2019-06-17 08:45:00.000001,100,3.18,3.18,3.18,3.18,False
2019-06-17 09:30:00.000001,380,3.06,3.06,2.89,2.89,False
2019-06-17 10:30:00.000000,1311,2.89,2.95,2.95,2.89,False
2019-06-17 11:00:00.000001,662,2.8632,2.92,2.92,2.841,True
2019-06-17 11:15:00.000000,600,2.965,2.965,2.86,2.86,False
2019-06-17 11:45:00.000001,200,2.95,2.95,2.95,2.95,False
2019-06-17 12:00:00.000000,100,2.95,2.95,2.95,2.95,False
2019-06-17 12:14:59.999999,100,2.92,2.92,2.92,2.92,False
2019-06-17 12:30:00.000001,1000,2.94,2.94,2.93,2.93,False
2019-06-17 12:59:59.999999,101,2.96,2.96,2.96,2.96,False
2019-06-17 13:44:59.999999,101,2.96,2.96,2.96,2.96,False
2019-06-17 15:00:00.000000,642,3.035,3.035,3.03,3.03,False
2019-06-17 15:30:00.000001,100,3.04,3.04,3.04,3.04,False
2019-06-17 15:45:00.000000,575,3.18,3.18,3.18,3.18,False
2019-06-18 09:30:00.000001,727,3.18,3.35,3.35,3.18,False
2019-06-18 09:45:00.000000,708,3.18,3.18,3.18,3.18,False
2019-06-18 09:59:59.999999,207,3.25,3.25,3.25,3.25,False
2019-06-18 10:44:59.999999,1000,3.2976,3.2976,3.2976,3.2976,False
2019-06-18 11:15:00.000000,4275,3.49,3.49,3.28,3.28,False
2019-06-18 11:29:59.999999,100,3.44,3.44,3.44,3.44,False
2019-06-18 11:45:00.000001,200,3.47,3.47,3.47,3.47,False
2019-06-18 12:00:00.000000,1200,3.3082,3.4,3.4,3.3082,False
2019-06-18 12:30:00.000001,200,3.435,3.435,3.39,3.39,False
2019-06-18 12:45:00.000000,439,3.29,3.43,3.43,3.29,True
2019-06-18 13:30:00.000000,200,3.39,3.39,3.39,3.39,False
2019-06-18 14:00:00.000001,325,3.4,3.4,3.4,3.4,False
2019-06-18 14:29:59.999999,100,3.37,3.37,3.37,3.37,False
2019-06-18 15:00:00.000000,475,3.4,3.4,3.4,3.4,False
2019-06-18 15:30:00.000001,100,3.48,3.48,3.48,3.48,False
2019-06-18 15:45:00.000000,1002,3.41,3.49,3.48,3.4,False
2019-06-19 11:15:00.000000,350,3.3514,3.36,3.36,3.3514,True
2019-06-19 11:29:59.999999,100,3.36,3.36,3.36,3.36,False
2019-06-19 13:15:00.000001,100,3.355,3.355,3.355,3.355,False
2019-06-19 14:00:00.000001,100,3.365,3.365,3.365,3.365,False
2019-06-19 14:15:00.000000,100,3.39,3.39,3.39,3.39,False
2019-06-19 14:29:59.999999,100,3.39,3.39,3.39,3.39,False
2019-06-19 15:00:00.000000,133,3.42,3.42,3.42,3.42,False
2019-06-19 15:14:59.999999,400,3.46,3.56,3.47,3.435,False
2019-06-19 15:30:00.000001,200,3.445,3.445,3.445,3.445,False
2019-06-19 15:45:00.000000,2810,3.573,3.58,3.45,3.43,False
2019-06-20 09:30:00.000001,304,3.57,3.57,3.57,3.57,False
2019-06-20 10:15:00.000001,5372,3.42,3.55,3.55,3.3,False
2019-06-20 10:30:00.000000,21190,3.59,3.82,3.44,3.44,False
2019-06-20 10:44:59.999999,6116,3.48,3.6,3.6,3.48,False
2019-06-20 11:00:00.000001,100,3.5725,3.5725,3.5725,3.5725,False
2019-06-20 11:29:59.999999,500,3.42,3.42,3.42,3.41,False
2019-06-20 11:45:00.000001,1250,3.44,3.45,3.43,3.43,False
2019-06-20 13:30:00.000000,454,3.59,3.59,3.4,3.4,False
2019-06-20 14:00:00.000001,600,3.46,3.479,3.38,3.37,False
2019-06-20 14:29:59.999999,186,3.48,3.48,3.48,3.48,False
2019-06-20 15:14:59.999999,398,3.37,3.37,3.37,3.37,False
2019-06-20 15:30:00.000001,800,3.48,3.495,3.48,3.48,False
2019-06-20 15:45:00.000000,3798,3.51,3.52,3.51,3.48,False
2019-06-21 09:30:00.000001,202,3.4,3.46,3.46,3.4,False
2019-06-21 10:15:00.000001,100,3.45,3.45,3.45,3.45,False
2019-06-21 10:30:00.000000,100,3.44,3.44,3.44,3.44,False
2019-06-21 10:44:59.999999,500,3.28,3.43,3.43,3.28,True
2019-06-21 11:00:00.000001,309,3.33,3.41,3.41,3.33,False
2019-06-21 11:15:00.000000,100,3.33,3.33,3.33,3.33,False
2019-06-21 11:45:00.000001,105,3.34,3.34,3.34,3.34,False
2019-06-21 12:30:00.000001,104,3.4,3.4,3.4,3.4,False
2019-06-21 12:59:59.999999,100,3.34,3.34,3.34,3.34,False
2019-06-21 13:30:00.000000,203,3.39,3.39,3.39,3.39,False
2019-06-21 14:00:00.000001,102,3.39,3.39,3.39,3.39,False
2019-06-21 15:00:00.000000,100,3.21,3.21,3.21,3.21,False
2019-06-21 15:14:59.999999,1959,3.1256,3.1256,3.1256,3.1256,True
2019-06-21 15:30:00.000001,200,3.3,3.3,3.215,3.215,False
2019-06-21 15:45:00.000000,25387,4.1,4.11,3.3,3.17,False
2019-06-21 15:59:59.999999,460,4.14,4.34,4.34,4.14,False
2019-06-24 09:30:00.000001,9122,3.7124,4.11,4.11,3.36,False
2019-06-24 09:45:00.000000,217,3.73,3.73,3.73,3.73,False
2019-06-24 09:59:59.999999,1167,3.75,3.75,3.75,3.75,False
2019-06-24 10:15:00.000001,319,3.75,3.75,3.75,3.75,False
2019-06-24 11:15:00.000000,5508,3.7364,3.74,3.74,3.7364,False
2019-06-24 12:45:00.000000,532,3.685,3.685,3.66,3.66,False
2019-06-24 13:15:00.000001,2700,3.7,3.71,3.68,3.68,False
2019-06-24 13:30:00.000000,600,3.7,3.7,3.7,3.7,False
2019-06-24 15:30:00.000001,1085,3.6891,3.6891,3.6891,3.6891,False
2019-06-24 15:45:00.000000,360,3.67,3.72,3.72,3.67,False
2019-06-25 09:30:00.000001,100,3.58,3.58,3.58,3.58,False
2019-06-25 10:30:00.000000,695,3.58,3.58,3.54,3.54,False
2019-06-25 11:00:00.000001,826,3.19,3.19,3.19,3.19,True
2019-06-25 12:59:59.999999,500,3.23,3.34,3.34,3.23,False
2019-06-25 15:45:00.000000,100,3.44,3.44,3.44,3.44,False
2019-06-26 09:30:00.000001,330,3.42,3.42,3.42,3.42,False
2019-06-26 10:15:00.000001,1482,3.15,3.24,3.24,3.15,False
2019-06-26 11:00:00.000001,230,3.1457,3.1457,3.1457,3.1457,True
2019-06-26 12:59:59.999999,200,3.3174,3.3174,3.3174,3.3174,False
2019-06-26 14:45:00.000001,100,3.42,3.42,3.42,3.42,False
2019-06-26 15:45:00.000000,1337,3.34,3.375,3.34,3.34,False
2019-06-27 09:30:00.000001,203,3.28,3.28,3.28,3.28,False
2019-06-27 09:59:59.999999,681,3.6,3.6,3.59,3.57,False
2019-06-27 10:15:00.000001,1000,3.8409,3.8409,3.8409,3.8409,False
2019-06-27 10:30:00.000000,527,3.64,3.64,3.64,3.64,False
2019-06-27 10:44:59.999999,575,3.6616,3.6616,3.6616,3.6616,False
2019-06-27 11:00:00.000001,500,3.77,3.77,3.6795,3.6795,False
2019-06-27 11:29:59.999999,266,3.7627,3.7627,3.7348,3.7348,False
2019-06-27 11:45:00.000001,300,3.7899,3.7899,3.7899,3.7899,False
2019-06-27 13:15:00.000001,1808,3.75,3.75,3.68,3.67,False
2019-06-27 13:44:59.999999,501,3.4874,3.4874,3.4874,3.4874,True
2019-06-27 15:45:00.000000,2068,3.73,3.735,3.7,3.6,False
2019-06-28 09:30:00.000001,2641,3.64,3.94,3.86,3.64,False
2019-06-28 09:59:59.999999,100,3.52,3.52,3.52,3.52,False
2019-06-28 10:15:00.000001,20222,3.2601,3.47,3.46,3.26,True
2019-06-28 10:30:00.000000,3433,3.5322,3.5322,3.33,3.26,False
2019-06-28 11:00:00.000001,1241,3.4,3.4,3.35,3.35,False
2019-06-28 11:15:00.000000,1000,3.4,3.4,3.4,3.4,False
2019-06-28 11:29:59.999999,230,3.4,3.4,3.4,3.4,False
2019-06-28 11:45:00.000001,100,3.4,3.4,3.4,3.4,False
2019-06-28 12:00:00.000000,1714,3.4,3.59,3.59,3.4,False
2019-06-28 12:14:59.999999,7290,3.36,3.68,3.4,3.36,True
2019-06-28 13:30:00.000000,400,3.56,3.56,3.53,3.53,False
2019-06-28 14:00:00.000001,102,3.48,3.48,3.48,3.48,False
2019-06-28 14:29:59.999999,100,3.407,3.407,3.407,3.407,False
2019-06-28 15:00:00.000000,914,3.41,3.42,3.42,3.41,False
2019-06-28 15:14:59.999999,898,3.4715,3.4715,3.39,3.39,False
2019-06-28 15:45:00.000000,2183,3.52,3.52,3.4,3.4,False
2019-06-28 17:00:00.000001,710,3.58,3.58,3.58,3.58,False
2019-06-28 17:29:59.999999,413,3.58,3.58,3.58,3.58,False
2019-06-28 17:45:00.000001,206,3.58,3.58,3.58,3.58,False
2019-07-01 07:15:00.000001,200,4.26,4.26,4.25,4.25,False
2019-07-01 07:30:00.000000,700,4.34,4.34,4.25,4.25,False
2019-07-01 09:30:00.000001,4747,3.99,4.02,4.02,3.7949,False
2019-07-01 09:45:00.000000,1400,3.97,3.97,3.9682,3.9458,False
2019-07-01 09:59:59.999999,1443,3.92,3.95,3.93,3.92,False
2019-07-01 10:15:00.000001,1200,3.97,3.97,3.96,3.96,False
2019-07-01 11:15:00.000000,152,3.92,3.92,3.92,3.92,False
2019-07-01 11:29:59.999999,150,3.9,3.9,3.9,3.9,False
2019-07-01 11:45:00.000001,667,3.92,3.92,3.92,3.92,False
2019-07-01 12:14:59.999999,2181,3.9,3.9,3.9,3.9,False
2019-07-01 12:30:00.000001,100,3.9,3.9,3.9,3.9,False
2019-07-01 12:45:00.000000,13356,3.9,3.929,3.92,3.89,False
2019-07-01 12:59:59.999999,8930,3.76,3.89,3.89,3.76,True
2019-07-01 13:15:00.000001,12347,3.85,3.85,3.75,3.75,False
