,volume,close,high,open,low,class
2019-06-04 12:59:59.999999,500,9.68,9.69,9.68,9.68,False
2019-06-04 15:14:59.999999,1172,9.75,9.75,9.74,9.74,False
2019-06-05 10:44:59.999999,100,9.5697,9.5697,9.5697,9.5697,False
2019-06-06 09:59:59.999999,100,9.56,9.56,9.56,9.56,False
2019-06-06 10:15:00.000001,100,9.56,9.56,9.56,9.56,False
2019-06-06 10:44:59.999999,200,9.56,9.56,9.56,9.56,False
2019-06-06 11:29:59.999999,100,9.555,9.555,9.555,9.555,False
2019-06-06 11:45:00.000001,380,9.56,9.56,9.56,9.56,False
2019-06-06 15:00:00.000000,100,9.55,9.55,9.55,9.55,False
2019-06-06 15:30:00.000001,208,9.6,9.6,9.6,9.6,False
2019-06-06 15:45:00.000000,200,9.6,9.6,9.6,9.6,False
2019-06-07 10:44:59.999999,400,9.55,9.6,9.6,9.55,False
2019-06-07 11:15:00.000000,500,9.3764,9.3764,9.3764,9.3764,False
2019-06-10 11:00:00.000001,442,9.6,9.66,9.66,9.6,False
2019-06-10 15:00:00.000000,500,9.54,9.54,9.54,9.54,False
2019-06-10 15:45:00.000000,100,9.55,9.55,9.55,9.55,False
2019-06-11 10:44:59.999999,200,9.55,9.55,9.55,9.55,False
2019-06-12 10:15:00.000001,200,9.55,9.55,9.55,9.55,False
2019-06-12 12:14:59.999999,100,9.55,9.55,9.55,9.55,False
2019-06-12 15:45:00.000000,105,9.32,9.32,9.32,9.32,False
2019-06-13 10:15:00.000001,300,9.3,9.3,9.12,9.12,False
2019-06-13 10:30:00.000000,100,9.3,9.3,9.3,9.3,False
2019-06-13 14:29:59.999999,200,9.3263,9.3263,9.3263,9.3263,False
2019-06-14 15:45:00.000000,100,9.3,9.3,9.3,9.3,False
2019-06-17 09:30:00.000001,200,9.3,9.3,9.3,9.3,False
2019-06-17 09:45:00.000000,2800,9.29,9.3,9.29,9.29,False
2019-06-17 15:45:00.000000,185,9.29,9.29,9.29,9.29,False
2019-06-18 12:30:00.000001,100,9.29,9.29,9.29,9.29,False
2019-06-18 13:15:00.000001,200,9.29,9.3,9.3,9.29,False
2019-06-18 13:30:00.000000,437,9.29,9.29,9.23,9.23,False
2019-06-19 09:45:00.000000,300,9.47,9.47,9.29,9.29,False
2019-06-19 11:29:59.999999,100,9.53,9.53,9.53,9.53,False
2019-06-19 15:45:00.000000,300,9.53,9.53,9.47,9.47,False
2019-06-20 11:29:59.999999,245,9.48,9.48,9.48,9.48,False
2019-06-20 14:45:00.000001,200,9.3565,9.3565,9.31,9.31,False
2019-06-20 15:30:00.000001,700,9.5,9.5,9.49,9.48,False
2019-06-21 09:30:00.000001,3682,9.14,9.2,9.2,9.14,False
2019-06-21 10:15:00.000001,1000,9.1706,9.1706,9.1706,9.1706,False
2019-06-21 10:30:00.000000,100,9.14,9.14,9.14,9.14,False
2019-06-21 10:44:59.999999,600,9.1,9.1,9.1,9.1,False
2019-06-24 09:45:00.000000,200,9.15,9.15,9.15,9.15,False
2019-06-24 09:59:59.999999,183,9.15,9.15,9.15,9.15,False
2019-06-24 13:44:59.999999,246,9.1,9.1,9.1,9.1,False
2019-06-25 13:44:59.999999,236,9.08,9.09,9.09,9.08,False
2019-06-26 12:14:59.999999,100,9.27,9.27,9.27,9.27,False
2019-06-26 13:44:59.999999,200,9.15,9.21,9.21,9.15,False
